Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2019,,mécanique,,B,,4.3 l/100km,non requis,noir,,1,6 mois,,,27 750 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111286315.html,SAINT MEDARD DE MUSSIDAN (24),26/08/2019,CENTRALE AUTO MARCHE,5,5,3,EURO6,non,,,,82 ch,4 CV,,,Vendeur professionnel,,,Peugeot,2008,Bien équipé,PEUGEOT 2008 (2) 1.2 PURETECH 82 STYLE,14 970 €,E111286315,942VO220799,114 g/km,Essence
2017,,mécanique,,C,,5.1 l/100km,requis,blanc,noir,1,12 mois,,,91 421 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111271082.html,PARIS (75),28/09/2017,AUTOHERO - PARIS - 100% VENTE A DISTANCE,5,5,,EURO6,non,,,,116 ch,6 CV,,,Vendeur professionnel,,,Nissan,QASHQAI 2,Bien équipé,NISSAN QASHQAI II 1.2 DIG-T 115 ACENTA,18 950 €,E111271082,LL66854,129 g/km,Essence
2016,,mécanique,,B,,4.3 l/100km,requis,bleu,noir,1,12 mois,,,104 347 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111326165.html,PARIS (75),28/10/2016,AUTOHERO - PARIS - 100% VENTE A DISTANCE,5,5,,EURO6,non,,,,125 ch,6 CV,,,Vendeur professionnel,,,Volkswagen,GOLF 7,Bien équipé,VOLKSWAGEN GOLF VII 1.4 TSI 125 BLUEMOTION TECHNOLOGY LOUNGE BV6 5P,19 450 €,E111326165,RJ63504,120 g/km,Essence
2022,,mécanique,,B,,4.6 l/100km,non requis,gris metal,tissu gris,2,12 mois,en cours,,28 158 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102301006.html,ANGERVILLE LA CAMPAGNE (27),16/01/2023,OPEL EVREUX,5,5,1,EURO6,oui,,,,110 ch,6 CV,81 kW,,Vendeur professionnel,,SPOTICAR,Opel,CROSSLAND,Bien équipé,OPEL CROSSLAND (2) 1.5 DIESEL 110 ELEGANCE BUSINESS,22 780 €,W102301006,,120 g/km,Diesel
2021,,mécanique,,C,,5.2 l/100km,non requis,GRIS PLATINIUM,???? ????,2,12 mois,,,44 398 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111016071.html,TOULENNE (33),30/04/2021,CITROEN LANGON,5,5,1,EURO6,oui,,,,131 ch,6 CV,,,Vendeur professionnel,,,Citroen,C5 AIRCROSS,Bien équipé,CITROEN C5 AIRCROSS 1.5 BLUEHDI 130 S&S FEEL BV6,29 910 €,E111016071,VO011862,139 g/km,Diesel
2022,,automatique,17.9 kWh,A,,1.5 l/100km,non requis,gris,,1,24 mois,en cours,,30 771 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111165169.html,ESCALQUENS (31),12/07/2022,AUDI TOULOUSE,5,5,1,EURO6,oui,,oui,,265 ch,16 CV,,oui,Vendeur professionnel,381 V,Audi occasions :plus,Audi,Q5 (2E GENERATION),Très bien équipé,AUDI Q5 II (2) 55 TFSI E 367 S LINE QUATTRO S TRONIC 7,83 890 €,E111165169,67161,41 g/km,Hybride essence électrique
2020,,automatique,,,,,non requis,noir metal,cuir noir,1,12 mois,,,28 080 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102490765.html,PARIS 17 (75),31/05/2020,Legend R.,4,2,,EURO6,oui,,,Importé,510 ch,,375 kW,,Vendeur professionnel,,,Aston martin,DB11,,ASTON MARTIN DB11 V8,204 750 €,W102490765,AM007,,Essence
2023,,automatique,,D,,,non requis,orange,,,36 mois,,,11 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111282509.html,ALBI (81),20/12/2023,SERIEYS AUTO,,5,,,non,,,Européen,150 ch,8 CV,,,Vendeur professionnel,,,Dacia,DUSTER 2,,DACIA DUSTER 1.3 TCE 150 EDC PRESTIGE + 2WD 360,28 280 €,E111282509,0882u0000051,141 g/km,Essence
2017,,automatique,,E,,5.6 l/100km,requis,noir metal,cuir/alcantara noir,1,6 mois,,,81 400 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102470367.html,LA ROCHE-SUR-FORON (74),22/09/2017,SPORT CAR CONCEPT,5,5,4,EURO6,non,,,,381 ch,26 CV,280 kW,,Vendeur professionnel,,,Mercedes,CLASSE A 3 AMG,,MERCEDES CLASSE A III (2) 45 AMG 4MATIC,41 690 €,W102470367,,162 g/km,Essence
2010,,mécanique,,D,,6.6 l/100km,requis,gris foncé metal,cuir/alcantara gris,2,6 mois,,,119 840 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102412472.html,BANTZENHEIM (68),03/06/2010,SUNDGOVIA AUTOMOBILES,4,3,,EURO4,oui,,,Importé,160 ch,9 CV,118 kW,,Vendeur professionnel,,,Volkswagen,SCIROCCO 2,Bien équipé,VOLKSWAGEN SCIROCCO II 1.4 TSI 160 SPORTLINE,12 190 €,W102412472,,154 g/km,Essence
2017,,automatique,,A,,3.7 l/100km,requis,gris,,2,6 mois,,,120 640 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111331344.html,BOULAZAC ISLE MANOIRE (24),01/07/2017,CENTRALE AUTO MARCHE BOULAZAC,5,5,3,EURO6,non,,,,90 ch,4 CV,,,Vendeur professionnel,,,Renault,CAPTUR,Bien équipé,RENAULT CAPTUR 1.5 DCI 90 ENERGY BUSINESS EDC ECO2 E6,14 720 €,E111331344,943VO220693,99 g/km,Diesel
2019,,automatique,,C,,4.7 l/100km,non requis,blanc,noir,2,12 mois,en cours,,90 677 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111274830.html,MAUREPAS (78),03/06/2019,CARNEXT MAUREPAS,5,5,1,EURO6,oui,,,,136 ch,7 CV,,,Vendeur professionnel,,,Hyundai,TUCSON 3,Très bien équipé,HYUNDAI TUCSON III (2) 1.6 CRDI 136 EXECUTIVE DCT-7,25 970 €,E111274830,2022u279663,123 g/km,Diesel
2019,,mécanique,,A,,3.3 l/100km,non requis,gris,,2,12 mois,,,65 009 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111342704.html,VILLENEUVE D ASCQ (59),22/09/2019,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,5,5,1,EURO6,oui,,,,120 ch,6 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,2008,Très bien équipé,PEUGEOT 2008 (2) 1.6 BLUEHDI 120 S&S CROSSWAY,19 530 €,E111342704,448719,96 g/km,Diesel
2022,,mécanique,,B,,5.3 l/100km,non requis,bleu,,1,12 mois,en cours,,20 836 Km,https://www.lacentrale.fr//auto-occasion-annonce-69111165451.html,ARGENTEUIL (95),22/03/2022,SPOTICAR STELLANTIS &YOU ARGENTEUIL,2,5,1,EURO6,oui,,,,100 ch,5 CV,,,Vendeur professionnel,,SPOTICAR,Peugeot,208 (2E GENERATION),Equipement standard,PEUGEOT 208 II 1.2 PURETECH 100 S&S ALLURE PACK,26 180 €,E111165451,441079,118 g/km,Essence
2017,,mécanique,,A,,3 l/100km,requis,gris foncé,,2,12 mois,,,84 506 Km,https://www.lacentrale.fr//auto-occasion-annonce-69108619507.html,MONTPON MENESTEROL (24),06/07/2017,NCL AUTOMOBILES,2,5,1,EURO6,oui,,,,75 ch,4 CV,,,Vendeur professionnel,,,Peugeot,208,Equipement standard,PEUGEOT 208 (2) 1.6 BLUEHDI 75 ACTIVE 5P,12 870 €,E108619507,203241,90 g/km,Diesel
2019,,automatique,,G,,12.5 l/100km,non requis,gris mat,cuir noir,1,6 mois,,,34 411 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102495239.html,DOMONT (95),28/01/2020,PEUGEOT GARAGE DU MARAIS,2,3,2,EURO6,non,,,,557 ch,47 CV,410 kW,,Vendeur professionnel,,,Mercedes-amg,GT,Très bien équipé,MERCEDES-AMG GT 4.0 V8 557 GT SPEEDSHIFT 7,176 980 €,W102495239,12021,284 g/km,Essence
2014,,automatique,,D,,5.6 l/100km,requis,noir metal,cuir marron,2,12 mois,,,62 211 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102472627.html,BEAUCHAMP (95),25/05/2014,AUTO OCCASION PASTEUR,5,5,2,EURO5,non,,,,259 ch,16 CV,190 kW,,Vendeur professionnel,,,Bmw,X3 F25,Très bien équipé,BMW X3 (F25) (2) XDRIVE30DA 258 XLINE,40 570 €,W102472627,,159 g/km,Diesel
2020,,mécanique,,B,,4.2 l/100km,non requis,blanc,grey dark,2,12 mois,,,100 610 Km,https://www.lacentrale.fr/auto-occasion-annonce-69111162693.html,CESSON SEVIGNE (35),25/08/2020,CARNEXT RENNES VEHICULES PARTICULIERS,2,4,1,EURO6,oui,,,,90 ch,5 CV,66 kW,,Vendeur professionnel,,,Renault,KANGOO 2 EXPRESS,Très bien équipé,RENAULT KANGOO EXPRESS II (2) EXTRA R-LINK DCI 90,15 060 €,E111162693,2022u280015,112 g/km,Diesel
2018,,mécanique,,C,,4.9 l/100km,requis,gris anthracite metal,cuir/tissu noir,1,12 mois,,,59 294 Km,https://www.lacentrale.fr//auto-occasion-annonce-87102442916.html,ANGERVILLE LA CAMPAGNE (27),06/02/2018,OPEL EVREUX,5,5,3,EURO6,non,,,,131 ch,7 CV,96 kW,,Vendeur professionnel,,SPOTICAR,Opel,GRANDLAND X,Equipement standard,OPEL GRANDLAND X 1.2 ECOTEC TURBO 130 INNOVATION,21 710 €,W102442916,,124 g/km,Essence
