Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2019,,automatique,,C,,4.9 l/100km,non requis,gris anthracite verni,cuir noir,2,,,,63 720 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102150371.html,33,27/04/2019,M. ou Mme A.,5,5,4,EURO6,non,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Nissan,X-TRAIL 3,Très bien équipé,NISSAN X-TRAIL III (2) 1.6 DCI 130 TEKNA ALL-MODE 4X4-I,25 600 €,B102150371,,139 g/km,Diesel
2018,,automatique,,B,,4.7 l/100km,requis,blanc metal,tissu noir,1,,,,80 520 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161337.html,89,02/08/2018,M. ou Mme C.,5,5,4,EURO6,oui,,,,116 ch,6 CV,85 kW,,Vendeur particulier,,,Audi,Q2,Bien équipé,AUDI Q2 1.0 TFSI 116 SPORT S TRONIC,29 890 €,B102161337,,117 g/km,Essence
2022,,automatique,,C,,6 l/100km,non requis,noir opaque (verni sans reflet),cuir/tissu noir,1,,en cours,,15 125 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102145754.html,91,10/03/2022,M. ou Mme J.,5,5,1,EURO6,oui,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Peugeot,2008 (2E GENERATION),Très bien équipé,PEUGEOT 2008 II 1.2 PURETECH 130 S&S GT EAT8,33 270 €,B102145754,,136 g/km,Essence
2020,530 Km,automatique,75 kWh,A,16 kWh/100km,,non requis,gris anthracite metal,simili cuir noir,0,,,,92 340 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146629.html,85,05/05/2020,M. ou Mme M.,5,5,1,EURO6,oui,,,,211 ch,9 CV,360 kW,oui,Vendeur particulier,350 V,,Tesla,MODEL 3,Equipement standard,TESLA MODEL 3 PERFORMANCE DUAL MOTOR AWD,53 570 €,B102146629,,0 g/km,Electrique
2017,,mécanique,,C,,5.1 l/100km,requis,marron metal,cuir/tissu noir,1,,,,171 820 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146825.html,13,21/08/2017,M. ou Mme P.,4,3,3,EURO6,oui,,,,122 ch,7 CV,90 kW,,Vendeur particulier,,,Mini,PACEMAN,Equipement standard,MINI PACEMAN (2) 1.6 COOPER 122,13 550 €,B102146825,,137 g/km,Essence
2007,,mécanique,,B,,4 l/100km,requis,noir verni,tissu noir,3,,,,132 240 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102156963.html,76,04/01/2008,M. ou Mme K.,5,5,3,EURO4,non,,,,86 ch,5 CV,63 kW,,Vendeur particulier,,,Renault,CLIO 3,,RENAULT CLIO III 1.5 DCI 85 CONFORT DYNAMIQUE 5P,5 560 €,B102156963,,117 g/km,Diesel
2015,,automatique,,B,,4.1 l/100km,requis,rouge mat,tissu noir,1,,,,76 160 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155769.html,78,10/04/2015,M. ou Mme B.,4,3,3,EURO6,non,,,,136 ch,7 CV,100 kW,,Vendeur particulier,,,Mini,3 3P,Equipement standard,MINI MINI III COOPER 136 BVA7 3P,19 040 €,B102155769,,112 g/km,Essence
2011,,automatique,,E,,5.2 l/100km,requis,gris foncé metal,cuir noir,2,,,,278 300 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102156779.html,92,03/09/2011,M. ou Mme M.,5,4,1,EURO5,oui,,,,205 ch,12 CV,151 kW,,Vendeur particulier,,,Volvo,S80 (2E GENERATION),Bien équipé,VOLVO S80 II (2) 2.4 D5 205 SUMMUM GEARTRONIC,10 760 €,B102156779,,178 g/km,Diesel
2023,,automatique,,F,,12.2 l/100km,non requis,noir metal,cuir noir,,,en cours,,3 172 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102148023.html,34,26/10/2023,M. ou Mme D.,5,5,1,EURO6,oui,,,,200 ch,11 CV,147 kW,,Vendeur particulier,,,Land rover,DISCOVERY SPORT,Bien équipé,LAND ROVER DISCOVERY SPORT (2) II P200 FLEXFUEL MHEV AWD S BVA,69 410 €,B102148023,,204 g/km,Bicarburation essence bioéthanol
2022,,automatique,,D,,5.6 l/100km,non requis,noir metal,cuir/tissu noir,2,,en cours,,57 933 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102132862.html,69,05/02/2022,M. ou Mme D.,7,5,1,EURO6,oui,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Mercedes,GLB,Très bien équipé,MERCEDES GLB 200 D BUSINESS LINE,47 720 €,B102132862,,147 g/km,Diesel
