Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2018,,automatique,,D,,4.9 l/100km,requis,noir metal,cuir noir,2,,,,111 300 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102135239.html,07,22/10/2018,M. ou Mme C.,5,4,2,EURO6,non,,,,313 ch,20 CV,230 kW,,Vendeur particulier,,,Bmw,SERIE 3 F30,Très bien équipé,BMW SERIE 3 (F30) (2) 335D XDRIVE 313 M SPORT BVA8,39 110 €,B102135239,,145 g/km,Diesel
2007,,mécanique,,B,,3.9 l/100km,requis,gris foncé metal,cuir/alcantara fauve,3,,,,126 270 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102152580.html,91,24/12/2007,M. ou Mme M.,4,3,4,EURO4,non,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Lancia,YPSILON 2,,LANCIA YPSILON II (2) 1.3 MJT 16V 90 ORO,4 860 €,B102152580,,117 g/km,Diesel
2021,,mécanique,,C,,6 l/100km,non requis,gris clair metal,cuir/tissu noir,1,,en cours,,13 625 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102160904.html,27,02/05/2021,M. ou Mme F.,5,5,1,EURO6,oui,,,,140 ch,7 CV,103 kW,,Vendeur particulier,,,Renault,MEGANE 4,Bien équipé,RENAULT MEGANE IV (2) 1.3 TCE 140 FAP BUSINESS INTENS 2020,23 980 €,B102160904,,130 g/km,Essence
2016,,automatique,,C,,4.6 l/100km,requis,gris verni,cuir noir,2,,,,127 050 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102158002.html,01,21/02/2016,M. ou Mme F.,5,5,3,EURO6,non,,,,190 ch,10 CV,140 kW,,Vendeur particulier,,,Audi,A5 SPORTBACK,Très bien équipé,AUDI A5 (2) SPORTBACK 2.0 TDI 190 CLEAN DIESEL AVUS QUATTRO S TRONIC EU6,23 080 €,B102158002,,135 g/km,Diesel
2015,,mécanique,,A,,3.3 l/100km,requis,blanc nacre,tissu gris/bleu,2,,,,142 310 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147525.html,93,06/06/2015,M. ou Mme B.,5,5,3,EURO5,non,,,,116 ch,5 CV,85 kW,,Vendeur particulier,,,Peugeot,308 (2E GENERATION) SW,Très bien équipé,PEUGEOT 308 II SW 1.6 E-HDI 115 ALLURE,10 700 €,B102147525,,95 g/km,Diesel
2020,54 Km,automatique,13.8 kWh,A,14 kWh/100km,,non requis,gris foncé metal,cuir/tissu noir,1,,en cours,,37 714 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102152987.html,30,11/03/2020,M. ou Mme B.,5,5,2,EURO6,non,,,,135 ch,5 CV,165 kW,oui,Vendeur particulier,300 V,,Mitsubishi,OUTLANDER 3,Bien équipé,MITSUBISHI OUTLANDER III (2) PHEV TWIN MOTOR 4WD INTENSE MY20,30 080 €,B102152987,,40 g/km,Hybride essence électrique
2019,,automatique,,F,,7.5 l/100km,non requis,noir metal,cuir/alcantara noir,1,,,,105 400 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102157979.html,06,25/02/2019,M. ou Mme L.,5,5,1,EURO6,non,,,,510 ch,41 CV,375 kW,,Vendeur particulier,,,Alfa romeo,STELVIO QUADRIFOGLIO,,ALFA ROMEO STELVIO 2.9 V6 510 Q4 QUADRIFOGLIO AT8,74 270 €,B102157979,,210 g/km,Essence
2016,,mécanique,,C,,4.6 l/100km,requis,gris anthracite mat,cuir noir,1,,,,146 900 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102149022.html,34,06/01/2017,M. ou Mme G.,5,5,1,EURO6,oui,,,,165 ch,9 CV,121 kW,,Vendeur particulier,,,Peugeot,508 SW,Bien équipé,PEUGEOT 508 (2) SW 1.6 THP 165 S&S ALLURE,13 440 €,B102149022,,130 g/km,Essence
2018,,automatique,,C,,5.2 l/100km,requis,blanc metal,tissu noir,1,,,,42 934 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155573.html,93,07/10/2018,M. ou Mme B.,5,5,3,EURO6,oui,,,,116 ch,6 CV,85 kW,,Vendeur particulier,,,Nissan,QASHQAI 2,Equipement standard,NISSAN QASHQAI II 1.2 DIG-T 115 N-CONNECTA XTRONIC,21 280 €,B102155573,,129 g/km,Essence
2022,,automatique,,C,,5.3 l/100km,non requis,noir metal,cuir/tissu noir,2,,en cours,,38 552 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102158817.html,21,30/06/2022,M. ou Mme G.,7,5,1,EURO6,oui,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Peugeot,5008 (2E GENERATION),Bien équipé,PEUGEOT 5008 II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK EAT8,43 430 €,B102158817,,140 g/km,Diesel
2020,,mécanique,,C,,6 l/100km,non requis,noir metal,tissu noir,1,,,,80 250 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141099.html,75,01/09/2020,M. ou Mme G.,5,5,2,EURO6,non,,,,140 ch,8 CV,103 kW,,Vendeur particulier,,,Renault,SCENIC 4,Bien équipé,RENAULT SCENIC IV 1.3 TCE 140 FAP BUSINESS,16 580 €,B102141099,,136 g/km,Essence
2016,,mécanique,,C,,4.4 l/100km,requis,noir verni,simili cuir noir,1,,,,111 600 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102102413.html,06,08/06/2016,M. ou Mme C.,5,4,3,EURO6,non,,,Importé,156 ch,8 CV,115 kW,,Vendeur particulier,,,Mercedes,CLA,Equipement standard,MERCEDES CLA 200 FASCINATION,24 180 €,B102102413,,129 g/km,Essence
2017,,automatique,,C,,4.3 l/100km,requis,blanc metal,cuir noir,2,,,,178 626 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161696.html,88,16/12/2017,M. ou Mme D.,5,5,6,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volvo,XC60,Bien équipé,VOLVO XC60 (2) 2.0 D3 150 OCEAN RACE GEARTRONIC 8,24 730 €,B102161696,,124 g/km,Diesel
2018,,mécanique,,A,,3.3 l/100km,requis,gris metal,tissu gris,2,,,,85 880 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155238.html,58,22/08/2018,M. ou Mme B.,5,5,2,EURO6,oui,,,,99 ch,5 CV,73 kW,,Vendeur particulier,,,Citroen,C3 PICASSO,Bien équipé,CITROEN C3 PICASSO (2) 1.6 BLUEHDI 100 FEEL EDITION,13 550 €,B102155238,,100 g/km,Diesel
2021,,automatique,,C,,,non requis,noir metal,tissu gris,1,,,,34 899 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102163007.html,91,23/01/2022,M. ou Mme C.,5,5,2,EURO6,oui,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Peugeot,208 (2E GENERATION),Equipement standard,PEUGEOT 208 II 1.2 PURETECH 130 S&S ALLURE EAT8,24 080 €,B102163007,,127 g/km,Essence
2011,,mécanique,,C,,4.5 l/100km,requis,gris foncé metal,tissu gris,3,,,,224 640 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102150961.html,78,17/06/2011,M. ou Mme H.,5,5,4,EURO4,non,,,,106 ch,6 CV,78 kW,,Vendeur particulier,,,Renault,SCENIC 3,Bien équipé,RENAULT SCENIC III 1.5 DCI 105 EXPRESSION,4 780 €,B102150961,,130 g/km,Diesel
2019,,mécanique,,A,,2.7 l/100km,non requis,gris metal,cuir/tissu noir,2,,,,67 580 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102110987.html,60,23/11/2019,M. ou Mme D.,5,5,2,EURO6,non,,,,99 ch,4 CV,73 kW,,Vendeur particulier,,,Peugeot,208,Très bien équipé,PEUGEOT 208 (2) 1.6 BLUEHDI 100 ALLURE BUSINESS 5P,12 750 €,B102110987,,79 g/km,Diesel
2009,,automatique,,B,,3.8 l/100km,requis,bordeaux mat,cuir/tissu beige,3,,,,84 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154117.html,83,19/09/2009,M. ou Mme L.,4,3,3,EURO4,oui,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Lancia,YPSILON 2,,LANCIA YPSILON II (2) 1.3 MJT 16V 90 DFS PLATINO B-COLORE,5 140 €,B102154117,,114 g/km,Diesel
2021,,automatique,,B,,,non requis,blanc verni,cuir/alcantara noir,2,,en cours,,68 970 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102162344.html,31,27/05/2021,M. ou Mme D.,5,5,2,EURO6,non,,,,190 ch,10 CV,140 kW,,Vendeur particulier,,,Bmw,SERIE 3 G21 TOURING,Bien équipé,BMW SERIE 3 (G21) 320D 190 H M SPORT BVA8,49 850 €,B102162344,,109 g/km,Diesel
2011,,automatique,,E,,5.2 l/100km,requis,gris clair metal,cuir blanc,2,,,,77 519 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102153124.html,75,03/09/2011,M. ou Mme P.,5,5,2,EURO5,oui,,,,163 ch,9 CV,120 kW,,Vendeur particulier,,,Peugeot,308,Très bien équipé,PEUGEOT 308 (2) 2.0 HDI 163 FAP FELINE BVA6 5P,10 770 €,B102153124,,164 g/km,Diesel
2010,,mécanique,,D,,5.3 l/100km,requis,blanc verni,tissu noir,2,,,,115 540 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102151577.html,94,19/11/2010,M. ou Mme Z.,4,3,5,EURO4,non,,,,122 ch,7 CV,90 kW,,Vendeur particulier,,,Volkswagen,SCIROCCO 2,Equipement standard,VOLKSWAGEN SCIROCCO II 1.4 TSI 122,9 010 €,B102151577,,149 g/km,Essence
2013,,automatique,,E,,6.7 l/100km,requis,blanc verni,cuir noir,2,,,,143 990 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141764.html,34,04/04/2013,M. ou Mme V.,5,5,2,EURO5,non,,,,245 ch,15 CV,180 kW,,Vendeur particulier,,,Bmw,X5 E70,Très bien équipé,BMW X5 (E70) (2) XDRIVE30DA 245 LIMITED SPORT EDITION,32 670 €,B102141764,,195 g/km,Diesel
2019,,automatique,,E,,5.8 l/100km,non requis,bleu marine metal,cuir beige,1,,,,51 258 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161599.html,92,12/02/2019,M. ou Mme L.,5,5,1,EURO6,oui,,,,340 ch,22 CV,250 kW,,Vendeur particulier,,,Audi,A7 SPORTBACK 2,Equipement standard,AUDI A7 II SPORTBACK 55 TFSI 340 AVUS EXTENDED QUATTRO S TRONIC 7,75 250 €,B102161599,,161 g/km,Essence
2014,,mécanique,,E,,6.5 l/100km,requis,noir verni,tissu noir,2,,,,108 070 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102133413.html,45,07/12/2014,M. ou Mme S.,4,2,2,EURO5,non,,,,200 ch,12 CV,147 kW,,Vendeur particulier,,,Jeep,WRANGLER 3,Bien équipé,JEEP WRANGLER III 2.8 CRD 200 SAHARA,34 240 €,B102133413,,187 g/km,Diesel
2022,550 Km,automatique,75 kWh,A,17 kWh/100km,,non requis,rouge verni,cuir noir,0,,en cours,208.3 A,19 380 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141946.html,06,13/11/2022,M. ou Mme R.,5,5,1,EURO6,oui,,,,208 ch,11 CV,350 kW,oui,Vendeur particulier,360 V,,Tesla,MODEL Y,Bien équipé,TESLA MODEL Y LONG RANGE DUAL MOTOR AWD,70 680 €,B102141946,,0 g/km,Electrique
2014,,automatique,,E,,6 l/100km,requis,blanc nacre,velours noir,1,,,,169 824 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102121416.html,38,18/09/2014,M. ou Mme A.,5,5,3,EURO5,non,,,,200 ch,12 CV,147 kW,,Vendeur particulier,,,Nissan,JUKE,Bien équipé,NISSAN JUKE 1.6 DIG-T 200 NISMO 4X4 CVT,14 880 €,B102121416,,169 g/km,Essence
2019,,mécanique,,B,,4.1 l/100km,non requis,gris clair metal,tissu noir,2,,,,59 920 Km,https://www.lacentrale.fr/auto-occasion-annonce-66102153662.html,02,07/04/2019,M. ou Mme C.,3,4,1,EURO6,oui,,,,120 ch,5 CV,88 kW,,Vendeur particulier,,,Peugeot,PARTNER 2 FOURGON,Très bien équipé,PEUGEOT PARTNER II (2) 1.6 BLUEHDI 120 S&S STD PREMIUM PACK,18 480 €,B102153662,,112 g/km,Diesel
2009,,automatique,,C,,4.9 l/100km,requis,argent metal,velours gris,2,,,,68 750 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102148152.html,14,21/08/2009,M. ou Mme B.,5,5,4,EURO4,non,,,,88 ch,5 CV,65 kW,,Vendeur particulier,,,Citroen,C3,,CITROEN C3 1.4 16S PACK CLIM SENSODRIVE,6 870 €,B102148152,,135 g/km,Essence
2020,,automatique,,C,,5.9 l/100km,non requis,noir metal,simili cuir noir,1,,,,29 280 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102140337.html,92,24/11/2020,M. ou Mme M.,5,4,2,EURO6,non,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Audi,A4 (5E GENERATION),Bien équipé,AUDI A4 V (2) 35 TFSI 150 S LINE S TRONIC 7,37 820 €,B102140337,,124 g/km,Essence
2015,,automatique,,D,,5.3 l/100km,requis,blanc metal,cuir noir,2,,,,133 200 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141994.html,91,26/01/2016,M. ou Mme T.,5,5,3,EURO5,non,,,,190 ch,11 CV,140 kW,,Vendeur particulier,,,Land rover,RANGE ROVER EVOQUE,Bien équipé,LAND ROVER RANGE ROVER EVOQUE SD4 PRESTIGE BVA9,25 080 €,B102141994,,159 g/km,Diesel
2017,,automatique,,E,,5.7 l/100km,requis,blanc metal,cuir beige,2,,,,88 920 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102122815.html,93,18/12/2017,M. ou Mme R.,5,5,3,EURO6,oui,,,,259 ch,16 CV,190 kW,,Vendeur particulier,,,Porsche,MACAN,Equipement standard,PORSCHE MACAN 3.0 V6 S DIESEL,52 430 €,B102122815,,161 g/km,Diesel
2018,,automatique,,C,,4.7 l/100km,requis,rouge verni,cuir noir,2,,en cours,,76 160 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102125018.html,78,25/10/2018,M. ou Mme  .,5,5,2,EURO6,non,,,,141 ch,7 CV,104 kW,,Vendeur particulier,,,Kia,SPORTAGE 4,Très bien équipé,KIA SPORTAGE IV 1.7 CRDI 141 ISG GT LINE PACK PREMIUM 2WD DCT7,20 700 €,B102125018,,129 g/km,Diesel
2019,,mécanique,,D,,5.5 l/100km,non requis,gris foncé metal,cuir noir,2,,,,24 200 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102138257.html,31,24/11/2019,M. ou Mme B.,5,5,1,EURO6,oui,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Ford,KUGA 2,Très bien équipé,FORD KUGA II (2) 2.0 TDCI 150 S&S 4X2 VIGNALE,28 430 €,B102138257,,154 g/km,Diesel
2020,,automatique,,E,,7.4 l/100km,non requis,orange verni,cuir/alcantara gris,1,,,,34 100 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102121005.html,83,08/03/2020,M. ou Mme A.,5,5,2,EURO6,non,,,,230 ch,14 CV,169 kW,,Vendeur particulier,,,Audi,Q3 (2E GENERATION),Bien équipé,AUDI Q3 II 45 TFSI 230 S LINE QUATTRO S TRONIC,52 690 €,B102121005,,172 g/km,Essence
2013,,mécanique,,C,,4.1 l/100km,requis,noir metal,tissu noir,2,,,,81 900 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147880.html,44,13/05/2013,M. ou Mme C.,5,5,1,EURO5,oui,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Nissan,QASHQAI,Equipement standard,NISSAN QASHQAI (2) 1.6 DCI 130 STOP/START SYSTEM CONNECT EDITION,12 070 €,B102147880,,129 g/km,Diesel
2022,,automatique,,C,,5.3 l/100km,non requis,noir metal,cuir beige,2,,en cours,,59 689 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102159610.html,08,05/03/2022,M. ou Mme N.,5,5,1,EURO6,oui,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Mini,COUNTRYMAN 2,Equipement standard,MINI COUNTRYMAN II (2) COOPER D 150 EDITION NORTHWOOD BVA8,40 930 €,B102159610,,140 g/km,Diesel
2020,57 Km,automatique,10 kWh,A,13 kWh/100km,1.8 l/100km,non requis,noir metal,cuir noir,1,,,34 A,30 132 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155401.html,74,19/09/2020,M. ou Mme T.,5,5,1,EURO6,oui,,,,136 ch,5 CV,165 kW,oui,Vendeur particulier,295 V,,Mini,COUNTRYMAN 2,Très bien équipé,MINI COUNTRYMAN II COOPER SE 136+88 ALL4 LONGSTONE BVA6,35 530 €,B102155401,,43 g/km,Hybride essence électrique
2020,,mécanique,,B,,4.4 l/100km,non requis,gris anthracite metal,tissu noir,1,,,,129 950 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102162044.html,11,01/03/2020,M. ou Mme C.,5,5,2,EURO6,oui,,,,83 ch,4 CV,60 kW,,Vendeur particulier,,,Peugeot,208,Bien équipé,PEUGEOT 208 (2) 1.2 PURETECH 82 SIGNATURE 5P,12 100 €,B102162044,,108 g/km,Essence
2018,,mécanique,,D,,5.5 l/100km,requis,noir metal,tissu noir,1,,,,108 300 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102134712.html,77,15/05/2018,M. ou Mme D.,5,5,2,EURO6,non,,,Importé,230 ch,13 CV,169 kW,,Vendeur particulier,,,Volkswagen,GOLF 7 GTI,Très bien équipé,VOLKSWAGEN GOLF VII 2.0 TSI 230 BLUEMOTION TECHNOLOGY GTI PERFORMANCE 5P,30 250 €,B102134712,,148 g/km,Essence
2020,51 Km,automatique,13.1 kWh,A,,,non requis,noir metal,cuir noir,1,,,33.7 A,60 280 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141774.html,67,14/12/2020,M. ou Mme L.,5,5,2,EURO6,oui,,,,301 ch,17 CV,297 kW,oui,Vendeur particulier,389 V,,Land rover,RANGE ROVER SPORT 2,Equipement standard,LAND ROVER RANGE ROVER SPORT II (2) P400E 2.0 PHEV 404CH HSE AUTO,88 990 €,B102141774,,69 g/km,Hybride essence électrique
2018,,automatique,,E,,7.9 l/100km,requis,noir metal,cuir noir,1,,,,88 000 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102135495.html,34,16/03/2018,M. ou Mme S.,4,2,4,EURO6,non,,,,370 ch,26 CV,272 kW,,Vendeur particulier,,,Bmw,SERIE 2 F87 COUPE M2,Equipement standard,BMW SERIE 2 (F87) M2 3.0 DKG7,53 900 €,B102135495,,185 g/km,Essence
2000,,mécanique,,G,,8.2 l/100km,requis,gris metal,cuir noir,3,,,,207 694 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102134364.html,12,06/08/2000,M. ou Mme T.,4,2,6,EURO2,non,,,Importé,190 ch,13 CV,143 kW,,Vendeur particulier,,,Peugeot,406 COUPE,,PEUGEOT 406 COUPE 3.0 V6 PACK 13CV,6 550 €,B102134364,,264 g/km,Essence
2010,,mécanique,,C,,4.4 l/100km,requis,noir metal,cuir/alcantara noir,3,,,,220 150 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146697.html,53,09/10/2010,M. ou Mme H.,5,5,3,EURO4,non,,,,109 ch,6 CV,80 kW,,Vendeur particulier,,,Mercedes,CLASSE B,Très bien équipé,MERCEDES CLASSE B 180 CDI DESIGN,7 020 €,B102146697,,137 g/km,Diesel
2022,491 Km,automatique,,A,,,non requis,rouge mat,simili cuir noir,0,,en cours,,19 520 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102136893.html,13,31/10/2022,M. ou Mme F.,5,5,1,EURO6,oui,,,,136 ch,7 CV,202 kW,oui,Vendeur particulier,,,Tesla,MODEL 3,Equipement standard,TESLA MODEL 3 (2) 275 AUTONOMIE STANDARD PLUS RWD,54 900 €,B102136893,,0 g/km,Electrique
2021,,mécanique,,D,,,non requis,blanc mat,tissu noir,2,,,,71 980 Km,https://www.lacentrale.fr/auto-occasion-annonce-66102160077.html,31,05/04/2021,M. ou Mme B.,3,5,1,EURO6,oui,,,,102 ch,5 CV,75 kW,,Vendeur particulier,,,Peugeot,PARTNER 3 FOURGON,Très bien équipé,PEUGEOT PARTNER III (2) 1.5 BLUEHDI 100 S&S 650KG STAND ASPHALT,21 350 €,B102160077,,145 g/km,Diesel
2012,,mécanique,,D,,5.2 l/100km,requis,blanc verni,tissu noir,1,,,,165 880 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102145980.html,25,26/03/2012,M. ou Mme B.,4,2,3,EURO5,non,,,,156 ch,9 CV,115 kW,,Vendeur particulier,,,Peugeot,RCZ,Equipement standard,PEUGEOT RCZ 1.6 THP 156 ONYX,12 740 €,B102145980,,155 g/km,Essence
2019,,automatique,,B,,3.7 l/100km,non requis,bleu marine metal,cuir/tissu gris,2,,,,75 900 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102118301.html,06,30/11/2019,M. ou Mme G.,5,5,2,EURO6,non,,,,109 ch,5 CV,80 kW,,Vendeur particulier,,,Mercedes,CLASSE B 2,Bien équipé,MERCEDES CLASSE B II (2) 180 CDI INSPIRATION 7G-DCT,20 120 €,B102118301,,104 g/km,Diesel
2011,,automatique,,D,,4.9 l/100km,requis,noir verni,tissu noir,3,,,,147 660 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102133875.html,66,13/09/2011,M. ou Mme A.,5,5,6,EURO4,non,,,,109 ch,6 CV,80 kW,,Vendeur particulier,,,Mercedes,CLASSE B,,MERCEDES CLASSE B 180 CDI DESIGN CVT,8 500 €,B102133875,,148 g/km,Diesel
2018,,automatique,,C,,4.9 l/100km,requis,gris clair opaque (verni sans reflet),cuir noir,1,,,,72 500 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102153192.html,74,17/04/2018,M. ou Mme G.,4,3,4,EURO6,non,,,,231 ch,13 CV,170 kW,,Vendeur particulier,,,Mini,3 JCW 3P,Equipement standard,MINI MINI III 2.0 JOHN COOPER WORKS 231 13CV BVA8,39 870 €,B102153192,,133 g/km,Essence
2020,,mécanique,,B,,4 l/100km,non requis,gris clair verni,tissu noir,2,,,,63 612 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102142549.html,76,26/05/2020,M. ou Mme C.,5,5,2,EURO6,non,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Renault,CLIO 4 ESTATE,Bien équipé,RENAULT CLIO IV (2) ESTATE 1.5 DCI 90 ENERGY BUSINESS ECO2 82G,13 870 €,B102142549,,104 g/km,Diesel
2020,,automatique,,C,,5.6 l/100km,non requis,noir metal,cuir/tissu noir,1,,,,81 600 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102136828.html,92,30/06/2020,M. ou Mme S.,5,5,2,EURO6,oui,,,,181 ch,10 CV,133 kW,,Vendeur particulier,,,Peugeot,3008 (2E GENERATION),Très bien équipé,PEUGEOT 3008 II 1.6 PURETECH 180 S&S GT LINE EAT8,32 280 €,B102136828,,128 g/km,Essence
2015,,automatique,,C,,4.5 l/100km,requis,marron verni,cuir marron,2,,,,115 200 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161797.html,50,07/02/2015,M. ou Mme B.,5,5,3,EURO6,non,,,,170 ch,9 CV,125 kW,,Vendeur particulier,,,Mercedes,GLA,Bien équipé,MERCEDES GLA 220 CDI SENSATION 4MATIC 7G-DCT,25 200 €,B102161797,,132 g/km,Diesel
2023,,automatique,,D,,7 l/100km,non requis,gris foncé metal,cuir/tissu noir,1,,,,34 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102108511.html,60,18/09/2023,M. ou Mme B.,7,5,2,EURO6,oui,,,,181 ch,10 CV,133 kW,,Vendeur particulier,,,Peugeot,5008 (2E GENERATION),Très bien équipé,PEUGEOT 5008 II (2) 1.6 PURETECH 180 S&S GT EAT8,52 720 €,B102108511,,158 g/km,Essence
2017,,automatique,,A,,3.5 l/100km,requis,noir metal,cuir noir,1,,,,2 240 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102143456.html,75,02/05/2017,M. ou Mme S.,4,3,1,EURO6,oui,,,,86 ch,4 CV,63 kW,,Vendeur particulier,,,Fiat,500 (2E GENERATION),Très bien équipé,FIAT 500 II 0.9 8V TWINAIR S/S CLUB DUALOGIC,16 240 €,B102143456,,88 g/km,Essence
2021,,mécanique,,B,,,non requis,bleu metal,tissu noir,1,,en cours,,24 396 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102139657.html,91,19/05/2021,M. ou Mme S.,5,5,1,EURO6,oui,,,,155 ch,8 CV,114 kW,,Vendeur particulier,,,Ford,FOCUS 4,Bien équipé,FORD FOCUS IV 1.0 ECOBOOST 155 MHEV ST LINE,27 350 €,B102139657,,118 g/km,Essence
2021,,automatique,,C,,4.9 l/100km,non requis,blanc nacre,cuir/alcantara gris,2,,,,22 627 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102156611.html,82,01/08/2021,M. ou Mme M.,5,5,2,EURO6,non,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Peugeot,2008 (2E GENERATION),Bien équipé,PEUGEOT 2008 II 1.5 BLUEHDI 130 S&S 7CV GT LINE EAT8,34 480 €,B102156611,,129 g/km,Diesel
2013,,automatique,,F,,7.1 l/100km,requis,gris clair metal,cuir noir,2,,,,176 960 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154922.html,43,30/08/2013,M. ou Mme D.,7,5,2,EURO5,oui,,,Importé,190 ch,12 CV,140 kW,,Vendeur particulier,,,Toyota,LAND CRUISER SERIE 150,Bien équipé,TOYOTA LAND CRUISER (KDJ150) 190 D-4D FAP LOUNGE PACK PREMIUM 5P 7PL,32 480 €,B102154922,,213 g/km,Diesel
2017,,automatique,,F,,7 l/100km,requis,noir nacre,cuir noir,2,,,,152 950 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102135374.html,07,15/10/2017,M. ou Mme A.,5,5,2,EURO6,non,,,,385 ch,28 CV,283 kW,,Vendeur particulier,,,Porsche,CAYENNE 2,Equipement standard,PORSCHE CAYENNE II (2) 4.1 TD 385 S TIPTRONIC,53 930 €,B102135374,,209 g/km,Diesel
2019,,mécanique,,B,,3.7 l/100km,non requis,blanc verni,tissu noir,2,,,,82 558 Km,https://www.lacentrale.fr/auto-occasion-annonce-66102151258.html,91,24/05/2019,M. ou Mme S.,2,4,2,EURO6,oui,,,,80 ch,5 CV,55 kW,,Vendeur particulier,,,Peugeot,BIPPER,Très bien équipé,PEUGEOT BIPPER 117 L1 1.3 HDI FAP 75 PACK CD CLIM PLUS,10 330 €,B102151258,,115 g/km,Diesel
2017,,mécanique,,,,,requis,bleu metal,simili cuir noir,1,,,,45 409 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102135435.html,84,07/10/2017,M. ou Mme P.,2,2,3,EURO6,non,,,,105 ch,10 CV,77 kW,,Vendeur particulier,,,Fiat,SPIDER,,FIAT SPIDER PININFARINA EUROPA,23 160 €,B102135435,,,Essence
